c_charge_degree,race,age,sex,priors_count,days_b_screening_arrest,label
F,African_American,29,Male,0,-1.0,1
M,Caucasian,31,Male,4,-1.0,1
F,African_American,33,Male,0,-1.0,0
F,Hispanic,35,Male,0,-1.0,0
M,Caucasian,30,Male,1,-20.0,0
F,Asian,52,Male,0,-1.0,0
F,Other,25,Male,0,-1.0,0
M,African_American,33,Male,1,-1.0,1
M,Hispanic,24,Male,0,-3.0,0
M,Caucasian,46,Male,0,-1.0,1
M,Hispanic,20,Male,0,-1.0,1
F,African_American,37,Female,3,-1.0,0
F,Caucasian,59,Male,2,-19.0,0
M,Caucasian,22,Male,2,-1.0,1
F,African_American,24,Male,0,-1.0,0
F,Caucasian,28,Male,1,-1.0,0
M,African_American,23,Male,1,0.0,0
F,Caucasian,36,Female,0,0.0,0
F,Caucasian,55,Male,1,0.0,0
F,African_American,37,Male,3,0.0,0
M,Hispanic,55,Male,0,-7.0,0
M,Caucasian,41,Male,0,-1.0,1
F,Caucasian,35,Male,4,-1.0,1
F,African_American,25,Male,0,-1.0,1
M,African_American,48,Male,0,0.0,0
F,Caucasian,65,Male,3,-1.0,0
F,African_American,28,Male,21,-1.0,0
F,African_American,53,Female,0,0.0,0
F,African_American,30,Male,4,-10.0,0
F,African_American,42,Female,2,-1.0,0
M,African_American,47,Male,23,-1.0,1
F,African_American,22,Male,0,0.0,0
F,Hispanic,25,Female,14,-1.0,0
F,African_American,22,Male,4,-1.0,1
F,African_American,36,Male,10,-1.0,1
F,African_American,28,Male,1,0.0,1
F,Caucasian,25,Female,2,0.0,0
M,Caucasian,30,Male,2,-1.0,1
F,Hispanic,28,Male,2,-1.0,0
F,African_American,25,Male,0,0.0,0
F,African_American,49,Male,29,-1.0,1
F,African_American,25,Male,4,-1.0,1
F,African_American,31,Male,10,-1.0,1
F,African_American,32,Female,3,-1.0,0
F,Hispanic,36,Male,0,0.0,0
F,Caucasian,28,Female,3,0.0,1
F,Caucasian,37,Male,0,-4.0,1
M,Caucasian,35,Male,4,-1.0,0
M,Caucasian,45,Male,2,-1.0,0
M,Caucasian,55,Male,0,-1.0,0
M,African_American,23,Male,2,-1.0,0
F,African_American,21,Male,1,-1.0,0
F,Caucasian,30,Male,3,21.0,0
F,Caucasian,43,Male,1,-1.0,1
F,African_American,28,Male,7,-1.0,1
M,African_American,23,Male,1,-1.0,1
F,Caucasian,41,Female,0,-1.0,0
M,Other,23,Female,0,-1.0,0
F,African_American,45,Male,10,-1.0,1
F,Other,50,Male,0,-1.0,1
M,Caucasian,28,Male,0,-1.0,1
F,African_American,36,Male,9,-1.0,0
F,African_American,23,Female,0,-1.0,1
M,African_American,23,Male,2,-1.0,1
M,Caucasian,45,Female,5,-1.0,0
M,Caucasian,30,Female,7,-18.0,0
F,Caucasian,31,Male,6,-1.0,1
M,African_American,22,Male,0,-1.0,0
M,Caucasian,56,Male,9,-24.0,1
F,African_American,43,Male,4,-26.0,1
M,African_American,28,Male,0,0.0,0
F,Other,43,Male,3,-1.0,0
F,African_American,24,Male,1,-1.0,1
F,African_American,37,Male,0,-1.0,0
M,African_American,51,Male,5,0.0,0
M,Caucasian,30,Male,2,-1.0,0
M,Caucasian,44,Female,0,-2.0,0
F,African_American,34,Female,1,-1.0,1
F,African_American,45,Male,0,-3.0,1
F,African_American,41,Male,19,29.0,1
F,African_American,26,Male,3,-21.0,1
F,Other,34,Male,0,-1.0,0
F,African_American,37,Male,2,0.0,0
F,African_American,24,Male,0,-1.0,0
F,African_American,23,Female,1,-1.0,0
M,Caucasian,27,Male,0,0.0,0
F,Caucasian,53,Male,1,-6.0,0
F,African_American,24,Male,1,-1.0,0
F,African_American,56,Male,22,-1.0,1
F,Caucasian,50,Male,5,-1.0,1
F,Caucasian,25,Male,9,-1.0,1
M,African_American,45,Male,3,0.0,0
F,Caucasian,35,Male,1,0.0,0
M,Caucasian,30,Female,0,0.0,0
F,Hispanic,21,Male,0,0.0,0
F,Caucasian,40,Male,1,-1.0,0
F,Caucasian,56,Male,0,-1.0,0
F,African_American,42,Male,1,0.0,0
F,African_American,24,Female,2,-1.0,0
F,African_American,60,Male,2,0.0,0
F,African_American,27,Male,0,-1.0,1
F,Caucasian,49,Male,0,-1.0,0
F,Caucasian,34,Male,1,-1.0,0
F,African_American,55,Male,21,0.0,1
F,Hispanic,41,Male,19,-1.0,1
M,African_American,43,Female,0,-1.0,0
F,African_American,34,Male,10,-1.0,0
F,African_American,20,Male,1,-1.0,1
F,Other,21,Male,1,0.0,1
F,African_American,23,Male,10,-1.0,1
M,African_American,38,Male,5,-1.0,0
F,African_American,20,Male,0,-1.0,1
F,African_American,32,Male,24,-1.0,1
M,Caucasian,31,Male,2,0.0,0
F,Caucasian,28,Male,3,-1.0,0
F,Hispanic,34,Female,5,0.0,0
M,Caucasian,23,Male,0,-1.0,0
F,African_American,32,Male,6,-1.0,1
F,African_American,23,Male,0,-1.0,1
F,Caucasian,34,Male,2,-1.0,0
F,Other,22,Male,0,-1.0,0
F,Caucasian,50,Male,1,-4.0,0
M,African_American,46,Male,0,-1.0,0
F,African_American,32,Male,4,0.0,1
F,African_American,34,Male,8,-1.0,1
F,African_American,29,Female,0,-1.0,0
M,Caucasian,26,Male,0,0.0,0
F,African_American,66,Male,3,-10.0,0
F,African_American,22,Male,0,-1.0,1
F,Caucasian,26,Male,5,-1.0,1
M,Caucasian,31,Male,3,-1.0,1
M,African_American,32,Male,13,-1.0,1
F,African_American,68,Female,5,-4.0,0
F,African_American,33,Male,4,-1.0,1
F,African_American,23,Male,0,-1.0,1
F,African_American,26,Male,5,-1.0,1
F,African_American,27,Male,4,-1.0,1
F,Caucasian,19,Female,2,-2.0,1
M,African_American,28,Male,5,-1.0,0
F,African_American,42,Male,2,-1.0,0
M,Caucasian,34,Male,0,-1.0,0
F,African_American,30,Male,3,-1.0,1
F,Caucasian,42,Male,5,-1.0,0
M,African_American,31,Female,0,-1.0,0
F,Caucasian,35,Male,2,-1.0,1
F,African_American,44,Male,0,-1.0,0
M,Caucasian,36,Female,0,-1.0,0
F,African_American,32,Male,4,-1.0,1
M,Caucasian,22,Female,0,-1.0,0
M,Caucasian,23,Male,3,-1.0,0
F,African_American,31,Male,2,-1.0,0
F,African_American,21,Male,0,-1.0,0
F,African_American,48,Male,14,23.0,1
F,Caucasian,65,Male,1,-1.0,1
M,Caucasian,42,Male,1,-1.0,1
M,Hispanic,36,Female,1,0.0,0
M,Other,47,Male,3,-1.0,0
F,Caucasian,47,Male,28,-1.0,1
F,African_American,23,Male,0,-1.0,1
M,Caucasian,33,Female,4,-1.0,1
F,African_American,29,Male,3,0.0,1
M,African_American,26,Female,0,-1.0,0
M,Caucasian,34,Male,0,-1.0,1
F,African_American,36,Male,0,-1.0,0
F,Caucasian,48,Male,0,-1.0,0
F,Hispanic,51,Male,1,-18.0,0
F,African_American,31,Male,19,-1.0,1
M,Caucasian,42,Female,0,0.0,0
F,Caucasian,45,Male,1,0.0,0
F,African_American,30,Male,0,-1.0,0
F,Caucasian,50,Male,8,-14.0,0
F,Caucasian,48,Male,1,-1.0,0
F,Caucasian,50,Male,1,-1.0,0
F,African_American,27,Male,10,-1.0,1
M,African_American,33,Female,0,-1.0,0
F,Caucasian,26,Male,0,-1.0,1
M,Caucasian,33,Female,0,-2.0,0
F,African_American,38,Male,19,-4.0,1
F,Caucasian,24,Male,0,-1.0,0
F,Caucasian,33,Female,2,-29.0,0
F,African_American,41,Male,13,-1.0,0
F,Other,33,Female,0,-1.0,0
F,African_American,37,Male,4,-1.0,0
F,Hispanic,25,Male,2,-1.0,1
M,African_American,25,Female,5,-1.0,1
F,Caucasian,34,Female,12,-1.0,1
M,Hispanic,36,Female,0,0.0,0
F,Caucasian,39,Male,0,0.0,1
F,African_American,31,Male,6,-1.0,0
F,Hispanic,38,Male,1,-1.0,0
F,Caucasian,53,Male,1,-12.0,0
F,African_American,26,Male,4,-1.0,1
M,Hispanic,26,Male,7,0.0,0
F,Hispanic,37,Male,1,0.0,0
M,African_American,34,Male,0,0.0,1
M,Hispanic,83,Male,0,0.0,0
M,African_American,25,Male,7,-1.0,1
F,African_American,43,Male,3,-1.0,1
F,African_American,54,Male,11,-1.0,0
M,African_American,35,Female,0,-1.0,1
M,Hispanic,23,Male,0,0.0,0
M,Caucasian,33,Female,0,-1.0,0
F,Caucasian,52,Female,6,-13.0,0
M,Hispanic,43,Male,0,-4.0,1
M,Hispanic,22,Male,0,-1.0,0
F,African_American,58,Male,0,-1.0,1
M,Other,34,Female,0,0.0,0
F,Caucasian,43,Female,0,0.0,0
F,African_American,22,Male,0,-1.0,0
F,African_American,24,Male,0,-1.0,0
F,Caucasian,39,Male,3,0.0,0
M,Caucasian,29,Male,0,-1.0,0
F,Caucasian,40,Female,0,0.0,0
F,African_American,48,Male,4,-1.0,0
F,African_American,33,Male,1,-17.0,0
F,African_American,35,Female,7,-1.0,1
F,African_American,32,Male,1,-1.0,0
M,African_American,28,Male,0,-1.0,1
M,Caucasian,32,Male,6,-29.0,0
M,Caucasian,38,Female,2,-1.0,0
F,African_American,47,Male,3,0.0,0
F,African_American,38,Female,1,-1.0,0
F,Hispanic,53,Male,18,0.0,0
M,Caucasian,47,Female,0,-1.0,0
F,African_American,24,Male,4,-27.0,1
F,African_American,37,Male,24,-1.0,0
M,Caucasian,37,Female,0,-1.0,0
M,Caucasian,22,Male,3,0.0,1
F,African_American,42,Male,1,-1.0,1
F,African_American,22,Male,0,-1.0,0
F,African_American,43,Male,1,0.0,0
F,Hispanic,37,Male,2,0.0,1
F,African_American,25,Male,5,-1.0,1
F,African_American,28,Male,8,-1.0,0
F,African_American,32,Male,3,-1.0,1
F,Caucasian,38,Male,1,-27.0,1
M,Caucasian,50,Male,1,-1.0,1
F,African_American,31,Male,9,-1.0,0
F,African_American,24,Female,0,0.0,1
F,Hispanic,20,Male,3,-1.0,1
F,African_American,55,Female,2,-1.0,0
M,African_American,48,Male,0,0.0,0
F,African_American,26,Male,5,-1.0,0
M,Hispanic,30,Male,0,-1.0,0
F,African_American,54,Male,3,-1.0,1
F,African_American,31,Male,0,0.0,0
F,African_American,41,Female,0,0.0,0
F,Caucasian,56,Male,1,0.0,0
M,Caucasian,55,Male,3,0.0,0
F,African_American,51,Male,3,0.0,0
F,African_American,51,Male,19,-1.0,0
F,Caucasian,28,Male,2,-1.0,0
M,African_American,23,Female,1,0.0,0
F,Caucasian,54,Female,2,-3.0,0
F,African_American,29,Male,0,0.0,0
F,African_American,51,Male,9,-1.0,1
F,African_American,38,Male,0,-1.0,0
F,African_American,21,Male,1,-1.0,1
F,African_American,45,Male,13,-1.0,1
F,African_American,23,Male,1,-1.0,1
F,Caucasian,37,Male,3,-4.0,0
F,African_American,28,Male,25,29.0,1
M,Hispanic,23,Male,0,-1.0,0
F,Other,41,Female,2,-1.0,0
F,African_American,25,Male,0,-1.0,1
M,African_American,36,Male,0,-1.0,0
M,Caucasian,47,Male,2,-25.0,0
M,Caucasian,28,Male,2,-1.0,0
F,Other,32,Male,0,-1.0,0
M,Caucasian,38,Male,2,0.0,0
M,Hispanic,38,Male,0,0.0,0
M,Hispanic,26,Male,0,-1.0,0
M,African_American,23,Male,3,-1.0,1
M,African_American,21,Male,0,-1.0,0
F,African_American,33,Female,5,-1.0,0
F,African_American,37,Male,8,-1.0,1
F,African_American,28,Male,5,0.0,1
M,Caucasian,40,Female,0,0.0,0
F,Caucasian,57,Male,2,-28.0,0
F,African_American,26,Male,10,-1.0,1
F,Caucasian,34,Female,2,-1.0,0
M,Caucasian,23,Male,0,-1.0,0
F,Hispanic,58,Male,1,-11.0,0
M,Caucasian,23,Male,1,0.0,1
M,African_American,25,Male,2,0.0,0
M,Caucasian,24,Male,9,-23.0,1
M,African_American,27,Male,5,0.0,1
M,Caucasian,30,Male,0,-1.0,0
F,African_American,21,Male,0,-1.0,0
F,Caucasian,28,Male,1,-1.0,1
F,Caucasian,39,Female,11,-1.0,1
M,Caucasian,36,Male,5,-1.0,1
F,Caucasian,50,Male,0,0.0,1
M,Caucasian,28,Female,0,-6.0,0
F,African_American,24,Male,4,-1.0,1
F,Caucasian,21,Male,1,-1.0,0
M,Hispanic,28,Male,11,0.0,0
F,African_American,32,Female,11,0.0,0
F,Caucasian,42,Male,1,0.0,1
F,Caucasian,45,Male,0,-5.0,0
F,Hispanic,23,Male,2,-1.0,0
F,African_American,41,Male,1,-1.0,0
F,Caucasian,25,Female,2,-25.0,1
F,Caucasian,20,Female,0,-1.0,1
F,African_American,47,Male,7,-1.0,1
F,Caucasian,30,Male,0,-1.0,0
F,African_American,29,Male,12,0.0,1
M,Caucasian,55,Male,0,-1.0,0
F,Hispanic,22,Female,1,-4.0,0
F,Other,46,Male,0,0.0,0
F,African_American,26,Male,0,-1.0,0
F,African_American,44,Male,0,-1.0,1
M,Caucasian,20,Male,0,-1.0,0
F,African_American,52,Male,0,-1.0,0
M,Caucasian,44,Male,1,-1.0,0
F,Caucasian,38,Female,0,-1.0,0
F,Caucasian,34,Female,0,-2.0,0
M,Caucasian,58,Male,1,-1.0,0
M,Other,20,Female,1,-1.0,0
F,African_American,20,Male,0,-1.0,0
M,African_American,42,Male,17,-1.0,1
F,Caucasian,24,Female,0,-2.0,0
F,African_American,67,Male,8,-1.0,0
F,Caucasian,28,Male,0,0.0,0
F,Hispanic,45,Male,8,0.0,0
F,Caucasian,39,Male,0,-1.0,0
F,African_American,32,Female,5,0.0,0
F,Caucasian,39,Male,0,-1.0,1
M,Caucasian,41,Male,0,0.0,0
F,African_American,21,Female,0,-1.0,1
M,African_American,38,Male,10,-1.0,0
M,African_American,22,Female,0,-1.0,0
M,Other,37,Male,4,-1.0,1
F,Hispanic,35,Male,5,0.0,0
M,Caucasian,21,Male,4,-1.0,1
M,Caucasian,60,Male,2,-1.0,0
M,African_American,22,Male,0,0.0,1
F,Caucasian,30,Male,4,0.0,1
M,African_American,35,Male,1,-1.0,0
F,Other,27,Male,1,-1.0,1
F,African_American,46,Male,3,-1.0,0
M,African_American,42,Male,4,0.0,0
F,African_American,33,Male,3,0.0,0
F,Caucasian,46,Male,2,-1.0,1
F,Caucasian,23,Male,0,-1.0,0
M,Caucasian,25,Female,1,-2.0,1
M,Caucasian,26,Male,0,-1.0,0
M,Caucasian,49,Male,0,0.0,0
M,Caucasian,68,Male,0,-1.0,0
F,African_American,20,Female,1,-1.0,1
F,Caucasian,29,Male,3,-1.0,1
F,Other,38,Male,2,-1.0,0
M,Caucasian,51,Male,0,-1.0,0
F,African_American,25,Female,1,-10.0,0
M,African_American,20,Female,0,-1.0,1
M,Caucasian,27,Male,3,-22.0,0
F,African_American,42,Male,6,-1.0,1
M,Caucasian,74,Male,0,-1.0,0
F,Caucasian,31,Male,17,-1.0,1
M,Hispanic,26,Male,0,-1.0,1
F,African_American,30,Male,6,-1.0,1
F,Caucasian,29,Male,2,-2.0,0
F,Caucasian,33,Male,0,-1.0,0
F,Caucasian,48,Male,1,-1.0,1
F,Caucasian,27,Male,0,-3.0,0
M,Caucasian,39,Male,0,-1.0,0
M,Hispanic,54,Female,0,0.0,0
F,African_American,46,Male,10,-1.0,1
F,Caucasian,21,Male,0,-1.0,1
F,African_American,24,Female,2,-1.0,1
F,Other,48,Female,0,-1.0,0
F,Caucasian,27,Male,5,-1.0,1
F,African_American,24,Male,6,0.0,1
M,Caucasian,29,Male,2,-1.0,0
M,Hispanic,44,Male,0,-1.0,0
F,African_American,35,Male,1,-1.0,0
F,Caucasian,39,Female,4,-2.0,1
F,Hispanic,45,Male,2,-1.0,0
F,Caucasian,57,Male,14,-28.0,1
F,African_American,51,Male,19,-1.0,1
M,African_American,27,Female,1,-1.0,0
M,African_American,22,Male,0,0.0,1
F,Hispanic,52,Male,0,-1.0,0
F,African_American,57,Male,3,0.0,0
F,African_American,28,Male,5,-1.0,0
F,African_American,22,Male,1,-1.0,0
F,African_American,54,Male,8,0.0,1
F,African_American,24,Male,10,0.0,1
F,Other,36,Female,6,-21.0,1
F,African_American,20,Male,1,-1.0,1
F,African_American,50,Female,1,-1.0,0
F,Hispanic,29,Male,0,-1.0,1
M,African_American,21,Male,0,-1.0,1
F,Hispanic,20,Male,0,-1.0,1
M,Other,49,Female,0,-1.0,0
F,African_American,26,Male,8,-1.0,1
F,African_American,29,Male,4,-1.0,1
F,Caucasian,28,Male,2,0.0,1
F,Caucasian,39,Male,3,-1.0,1
F,Caucasian,39,Male,1,-1.0,0
M,African_American,34,Male,2,-1.0,1
F,African_American,26,Male,2,-1.0,1
M,Caucasian,26,Male,0,-1.0,0
F,African_American,30,Male,13,-1.0,1
F,Caucasian,50,Male,0,-1.0,0
M,Caucasian,48,Male,0,-1.0,0
F,Other,38,Female,0,-1.0,0
F,Hispanic,23,Male,4,-27.0,0
M,African_American,36,Male,4,-1.0,0
F,African_American,35,Male,9,-1.0,0
F,Hispanic,26,Male,0,0.0,0
F,African_American,23,Female,0,-1.0,1
M,African_American,22,Male,0,0.0,0
F,African_American,26,Male,6,-1.0,1
M,Caucasian,25,Male,5,-1.0,1
F,African_American,43,Male,0,-1.0,0
F,African_American,52,Male,0,-1.0,1
M,African_American,22,Male,1,28.0,1
M,Hispanic,50,Male,9,-1.0,1
F,Hispanic,22,Male,0,-1.0,0
F,African_American,35,Male,6,-1.0,1
F,Hispanic,30,Male,0,0.0,0
M,Caucasian,34,Male,5,-1.0,0
M,Caucasian,44,Female,1,-6.0,0
M,Other,42,Male,1,-13.0,0
F,African_American,57,Male,12,-1.0,0
F,African_American,24,Male,1,-1.0,0
M,Caucasian,30,Male,0,0.0,1
F,African_American,26,Male,9,-1.0,1
F,African_American,20,Male,2,-1.0,1
M,African_American,24,Male,2,-1.0,1
F,Caucasian,48,Male,9,-1.0,0
M,African_American,25,Male,0,0.0,0
F,African_American,20,Male,2,-1.0,1
F,Caucasian,31,Male,3,-1.0,1
F,Other,25,Male,1,-1.0,1
F,Native American,45,Female,15,-1.0,1
M,Caucasian,35,Female,1,-1.0,0
M,Hispanic,43,Male,0,-1.0,0
F,Caucasian,21,Female,0,-1.0,0
F,Caucasian,28,Male,0,-1.0,0
M,Hispanic,26,Male,1,-1.0,1
M,African_American,29,Male,0,-1.0,1
F,African_American,46,Male,0,-1.0,0
F,African_American,26,Male,5,-1.0,1
F,African_American,27,Male,10,0.0,1
F,African_American,31,Female,3,-1.0,0
F,African_American,25,Male,5,-1.0,0
F,African_American,29,Male,2,-1.0,0
M,African_American,21,Male,1,-18.0,1
F,African_American,24,Male,3,-1.0,1
F,Caucasian,41,Male,0,0.0,0
F,Caucasian,55,Male,0,-1.0,0
F,Caucasian,56,Male,0,0.0,0
F,African_American,20,Male,0,-1.0,1
F,African_American,20,Female,0,-1.0,0
F,African_American,32,Male,3,-1.0,1
M,Caucasian,44,Female,0,-1.0,0
M,Other,31,Male,0,-1.0,0
M,African_American,26,Male,1,0.0,0
M,Caucasian,25,Female,0,-1.0,0
M,Other,31,Male,0,-1.0,0
M,African_American,21,Male,0,-1.0,1
M,Caucasian,39,Male,0,-1.0,0
M,African_American,27,Male,6,-1.0,1
F,African_American,21,Male,0,-1.0,0
M,African_American,22,Male,1,-1.0,1
M,Caucasian,32,Male,0,-1.0,0
F,Caucasian,37,Female,2,-1.0,1
F,Other,35,Male,0,-1.0,0
F,African_American,36,Male,9,0.0,1
F,African_American,55,Male,0,-1.0,0
M,African_American,25,Female,0,-1.0,0
M,Caucasian,20,Male,0,-2.0,1
F,Caucasian,42,Male,4,-1.0,1
M,Hispanic,53,Female,0,-1.0,0
F,African_American,27,Male,13,0.0,1
M,African_American,29,Male,0,-1.0,0
F,African_American,47,Male,1,-3.0,0
F,Caucasian,59,Male,1,-1.0,1
M,African_American,22,Female,0,0.0,1
F,Hispanic,24,Male,1,0.0,0
F,Caucasian,43,Male,1,-30.0,0
M,Caucasian,56,Male,0,0.0,1
M,Caucasian,62,Female,0,0.0,0
M,Other,42,Male,6,-1.0,0
F,Caucasian,39,Female,1,-1.0,0
M,African_American,46,Male,1,-1.0,1
F,African_American,27,Female,1,0.0,0
F,African_American,21,Male,1,-1.0,1
M,African_American,53,Male,1,-1.0,0
F,African_American,32,Male,4,-1.0,0
F,Caucasian,23,Male,4,-1.0,1
F,Caucasian,47,Male,2,0.0,1
F,African_American,33,Male,8,0.0,0
F,Other,55,Male,4,-1.0,0
F,Caucasian,53,Male,8,-13.0,0
M,African_American,21,Male,0,0.0,0
F,Caucasian,27,Male,2,-1.0,1
M,African_American,30,Male,6,0.0,1
F,African_American,30,Male,9,-1.0,1
M,Caucasian,30,Female,0,-1.0,0
F,Asian,36,Male,1,-1.0,0
F,Other,22,Male,0,-1.0,1
M,Caucasian,23,Male,0,-3.0,0
F,Hispanic,33,Male,0,0.0,0
F,African_American,23,Male,1,-24.0,1
F,African_American,28,Male,0,0.0,1
F,African_American,37,Female,0,-1.0,0
F,African_American,21,Male,2,0.0,1
F,Native American,20,Male,1,-5.0,1
M,Caucasian,59,Male,0,-1.0,0
F,Caucasian,56,Male,0,-2.0,0
F,African_American,24,Male,1,-1.0,1
F,Caucasian,29,Female,20,11.0,1
F,African_American,23,Male,0,0.0,0
F,Asian,34,Female,1,-10.0,0
F,African_American,25,Female,1,-1.0,0
M,Caucasian,33,Male,2,-22.0,0
M,Other,31,Male,3,-1.0,1
M,African_American,41,Female,5,0.0,0
M,Caucasian,29,Female,0,-1.0,0
F,Caucasian,67,Male,3,-1.0,0
F,African_American,20,Male,1,-1.0,0
M,Hispanic,62,Male,0,-2.0,0
M,Hispanic,37,Female,0,-3.0,0
F,African_American,22,Male,1,-1.0,0
F,Other,37,Male,2,-1.0,1
F,African_American,25,Male,1,-1.0,0
F,Hispanic,24,Male,2,0.0,0
F,African_American,24,Male,2,-1.0,1
M,Caucasian,37,Male,1,-9.0,0
F,Other,37,Male,1,-1.0,0
F,African_American,20,Male,1,-26.0,1
F,African_American,25,Male,4,0.0,1
F,Caucasian,39,Male,2,-13.0,1
M,Caucasian,45,Male,1,0.0,1
F,African_American,32,Male,8,-1.0,0
F,African_American,28,Female,0,-1.0,1
M,African_American,22,Male,1,0.0,1
F,Caucasian,29,Male,1,-2.0,0
M,African_American,30,Female,0,0.0,0
M,Hispanic,42,Male,0,0.0,0
F,Caucasian,48,Male,3,-7.0,0
M,Caucasian,33,Male,0,-1.0,1
F,African_American,54,Male,6,-1.0,1
F,African_American,26,Male,3,-1.0,1
F,Caucasian,27,Female,1,-1.0,1
F,African_American,22,Male,0,-1.0,1
M,Other,27,Male,0,-1.0,0
M,Caucasian,31,Female,0,0.0,0
M,Caucasian,20,Male,0,0.0,0
M,Hispanic,25,Male,0,-1.0,0
F,African_American,35,Male,2,-1.0,0
F,Caucasian,24,Male,8,-1.0,1
F,African_American,53,Male,6,-1.0,0
F,African_American,49,Male,3,-1.0,0
M,African_American,44,Male,1,0.0,0
M,Caucasian,28,Male,0,-1.0,1
F,Caucasian,35,Male,2,0.0,1
F,African_American,21,Male,1,-1.0,1
F,Caucasian,34,Male,3,-1.0,0
M,Caucasian,45,Male,1,-11.0,0
M,Hispanic,37,Female,0,-2.0,1
F,African_American,29,Male,5,-1.0,1
M,Caucasian,52,Male,0,-1.0,0
M,Caucasian,21,Male,1,-1.0,0
F,African_American,23,Male,0,-1.0,0
F,Other,26,Male,0,-1.0,1
F,Caucasian,47,Male,3,-1.0,0
M,Caucasian,52,Female,0,0.0,0
F,African_American,30,Female,14,0.0,1
F,Caucasian,36,Female,5,-1.0,1
F,Hispanic,30,Male,1,0.0,1
F,African_American,27,Male,7,-1.0,1
F,Hispanic,34,Male,5,-1.0,1
F,African_American,25,Male,1,-23.0,1
M,African_American,29,Male,0,-1.0,0
F,Caucasian,44,Male,5,0.0,0
F,Caucasian,23,Male,0,-1.0,1
F,African_American,24,Male,4,-1.0,1
F,Caucasian,31,Female,9,-1.0,1
F,Caucasian,55,Male,1,-1.0,1
M,Caucasian,60,Male,0,-7.0,1
F,African_American,29,Male,2,-1.0,0
F,Caucasian,22,Male,3,-1.0,1
M,African_American,26,Male,6,-8.0,0
M,African_American,31,Male,1,-1.0,0
F,African_American,22,Male,3,-1.0,1
F,Caucasian,31,Male,0,-1.0,0
M,Asian,48,Male,0,0.0,0
F,African_American,28,Male,5,-1.0,1
F,African_American,35,Male,22,0.0,1
F,African_American,30,Male,8,0.0,1
M,Hispanic,44,Female,0,-2.0,0
M,Caucasian,53,Male,1,-1.0,0
F,African_American,22,Male,1,0.0,1
M,African_American,27,Male,5,-1.0,1
M,Caucasian,44,Male,1,0.0,1
M,Hispanic,26,Male,2,0.0,0
M,Caucasian,52,Male,1,0.0,0
F,African_American,22,Male,0,-1.0,0
F,African_American,21,Male,0,-1.0,0
F,African_American,27,Male,9,-1.0,1
F,Caucasian,22,Male,5,-2.0,1
M,Other,38,Female,0,-1.0,0
F,African_American,22,Male,0,-1.0,0
M,Caucasian,42,Male,0,-1.0,0
F,Caucasian,30,Male,2,-1.0,0
M,Other,35,Female,0,-1.0,0
F,African_American,44,Male,7,0.0,0
F,Caucasian,49,Male,8,-24.0,0
M,African_American,30,Male,0,0.0,1
M,Hispanic,25,Male,2,-1.0,1
M,Caucasian,42,Male,0,0.0,0
M,African_American,33,Male,0,-1.0,1
F,Caucasian,38,Male,1,-1.0,1
F,African_American,52,Female,0,0.0,1
F,African_American,21,Male,0,-1.0,1
F,African_American,31,Male,15,0.0,0
F,African_American,22,Male,1,0.0,1
F,Caucasian,60,Female,0,0.0,0
F,Hispanic,39,Female,10,-1.0,1
F,African_American,31,Male,7,-1.0,1
F,Caucasian,23,Male,0,-1.0,0
F,African_American,43,Male,2,-1.0,0
M,Caucasian,43,Female,0,0.0,1
F,African_American,26,Male,9,-1.0,1
F,African_American,40,Male,21,-1.0,0
M,African_American,35,Male,8,0.0,1
F,African_American,27,Male,5,-1.0,1
M,Other,31,Male,1,0.0,0
F,Caucasian,29,Male,2,-24.0,0
F,Caucasian,21,Female,1,-1.0,0
F,African_American,35,Male,6,-1.0,0
M,African_American,28,Male,0,-1.0,0
F,African_American,43,Male,7,0.0,0
M,African_American,32,Male,4,-1.0,1
F,African_American,34,Male,1,-1.0,0
F,African_American,25,Male,7,-1.0,0
F,Hispanic,24,Male,0,0.0,1
F,African_American,25,Male,0,0.0,0
F,Other,51,Male,2,-1.0,0
M,African_American,37,Male,11,-1.0,1
M,African_American,26,Male,24,-1.0,1
F,African_American,29,Female,11,-1.0,0
F,African_American,41,Male,1,-1.0,0
F,African_American,27,Male,3,-1.0,1
F,Caucasian,22,Male,1,-1.0,0
M,African_American,77,Male,1,-1.0,1
M,Hispanic,48,Male,1,0.0,1
M,Hispanic,39,Male,1,-1.0,0
F,African_American,30,Female,4,-5.0,0
F,African_American,34,Female,5,-1.0,0
M,African_American,31,Male,5,-1.0,1
F,Hispanic,20,Male,0,-1.0,0
F,African_American,30,Male,1,-1.0,1
F,African_American,37,Male,4,0.0,0
F,African_American,32,Male,14,-1.0,0
F,African_American,50,Male,13,0.0,1
F,African_American,36,Male,2,0.0,0
F,African_American,31,Female,2,-1.0,1
F,Caucasian,44,Male,6,-1.0,1
M,Caucasian,20,Male,0,-1.0,1
F,African_American,22,Male,2,0.0,1
F,African_American,27,Male,1,-1.0,1
F,Caucasian,51,Male,0,-1.0,0
F,Caucasian,23,Male,1,-1.0,0
M,Caucasian,25,Male,5,-1.0,0
F,Hispanic,24,Male,0,-1.0,0
F,Other,70,Female,0,-1.0,0
F,African_American,45,Male,1,-1.0,0
F,African_American,33,Male,7,-1.0,1
F,African_American,19,Male,2,-21.0,1
F,Caucasian,40,Female,4,-1.0,0
M,African_American,24,Female,0,-1.0,0
M,Caucasian,52,Male,4,-1.0,0
